,times
256,0.151501584
512,0.08032732
768,0.056729221
1024,0.044783425
1280,0.037696171
1536,0.032983994
1792,0.029647923
2048,0.026995158
2304,0.025044346
2560,0.023490429
2816,0.022191858
3072,0.021006966
3328,0.020081639
3584,0.019388604
3840,0.018696523
4096,0.0180058
4352,0.017602873
4608,0.017032576
4864,0.01665771
5120,0.016401935
5376,0.015930843
5632,0.015812278
5888,0.015532398
6144,0.015205765
6400,0.015249181
6656,0.015084124
6912,0.016673303
7168,0.016003466
7424,0.01443429
7680,0.013971472
7936,0.013873601
8192,0.013546491
8448,0.018810081
8704,0.018481326
8960,0.018164158
9216,0.017798734
9472,0.017460513
9728,0.017159891
9984,0.017160201
10240,0.016800737
10496,0.016556573
10752,0.016876721
11008,0.017183328
11264,0.017901492
11520,0.017718196
11776,0.016257
12032,0.015516996
12288,0.015596414
12544,0.015271401
12800,0.015346074
13056,0.017024589
13312,0.014988089
13568,0.014915919
13824,0.014532685
14080,0.014518595
14336,0.014536381
14592,0.01422441
14848,0.014306998
15104,0.014246082
15360,0.014202166
15616,0.013960671
15872,0.013983941
16128,0.013958812
16384,0.013622618
16640,0.016171527
16896,0.016162324
17152,0.016043758
17408,0.016017699
17664,0.015708041
17920,0.015719032
18176,0.015476394
18432,0.015491438
18688,0.01551404
18944,0.0152354
19200,0.015196157
19456,0.015182376
19712,0.015101933
19968,0.015112066
20224,0.015031719
20480,0.014741445
20736,0.01472249
20992,0.014677072
21248,0.014506364
21504,0.014511037
21760,0.01448667
22016,0.014320207
22272,0.014340496
22528,0.014172816
22784,0.014186049
23040,0.014186716
23296,0.014025497
23552,0.014002562
23808,0.014021754
24064,0.01384244
24320,0.01386559
24576,0.01379571
24832,0.015577316
25088,0.015546298
25344,0.015561676
25600,0.01539309
25856,0.015376925
26112,0.015386391
26368,0.015186787
26624,0.014998102
26880,0.015048432
27136,0.014976764
27392,0.014823747
27648,0.014852357
27904,0.014826059
28160,0.014811659
28416,0.014694834
28672,0.01470809
28928,0.014686322
29184,0.01452086
29440,0.014517403
29696,0.014488149
29952,0.014518952
30208,0.014487147
30464,0.014356613
30720,0.014202738
30976,0.014249468
31232,0.014198208
31488,0.014235806
31744,0.014074492
32000,0.014126611
32256,0.014205456
32512,0.014135456
32768,0.013918877
33024,0.015252399
33280,0.015254688
33536,0.01541183
33792,0.018023634
34048,0.015810204
34304,0.017975068
34560,0.017002583
34816,0.015155911
35072,0.015731001
35328,0.015138054
35584,0.014856482
35840,0.014905548
36096,0.01499145
36352,0.014720798
36608,0.014908957
36864,0.014719868
37120,0.014671302
37376,0.014706564
37632,0.014623022
37888,0.014526176
38144,0.014539266
38400,0.014487171
38656,0.014403796
38912,0.017458749
39168,0.01825633
39424,0.01478858
39680,0.01444006
39936,0.014500356
40192,0.014369082
40448,0.014330411
40704,0.014350224
40960,0.01408093
41216,0.015441394
41472,0.015660119
41728,0.01546011
41984,0.016257715
42240,0.015215063
